id,Kraj,Liga,Superbet,Flashscore
419,Azerbaijan,Premyer Liqa,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/azerbejdzan/premier-league/?ct=m,https://flashscore.pl/pilka-nozna/azerbejdzan/premier-league/
417,Bahrain,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/bahrajn/premier-league/wszystko?ct=m,
117,Belarus,1. Division,,
116,Belarus,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/bialorus/vysshaya-league/?ct=m,https://flashscore.pl/pilka-nozna/bialorus/vysshaya-league/
145,Belgium,Jupiler Pro League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/belgia/pro-league/?ct=m,https://flashscore.pl/pilka-nozna/belgia/pro-league/
144,Belgium,Challenger Pro League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/belgia/challenger-pro-league/,https://flashscore.pl/pilka-nozna/belgia/challenger-pro-league/
344,Bolivia,Primera División,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/boliwia/liga-profesional-apertura/?ct=m,https://www.flashscore.pl/pilka-nozna/boliwia/division-profesional/#/2LBZzj8b/tabela/ogolnie/
412,Botswana,Premier League,,
71,Brazil,Serie A,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/brazylia/brasileiro-serie-a/?ct=m,https://flashscore.pl/pilka-nozna/brazylia/brasileiro-serie-a/
72,Brazil,Serie B,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/brazylia/brasileiro-superbet-serie-b/?ct=m,https://flashscore.pl/pilka-nozna/brazylia/brasileiro-superbet-serie-b/
172,Bulgaria,First League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/bulgaria/parva-liga/?ct=m,https://flashscore.pl/pilka-nozna/bulgaria/parva-liga/
566,Burundi,Ligue A,,
711,Chile,Segunda División,,
265,Chile,Primera División,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/chile/primera-division/?ct=m,https://flashscore.pl/pilka-nozna/chile/primera-division/
169,China,Super League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/chiny/super-league/,https://flashscore.pl/pilka-nozna/chiny/super-league/
239,Colombia,Primera A,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/kolumbia/primera-a-clausura/?ct=m,https://flashscore.pl/pilka-nozna/kolumbia/primera-a-clausura/
240,Colombia,Primera B,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/kolumbia/primera-a-clausura/?ct=m,https://flashscore.pl/pilka-nozna/kolumbia/primera-a-clausura/
162,Costa-Rica,Primera División,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/kostaryka/primera-division-apertura/?ct=m,https://flashscore.pl/pilka-nozna/kostaryka/primera-division-apertura/
211,Croatia,First NL,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/chorwacja/prva-nl/?ct=m,https://flashscore.pl/pilka-nozna/chorwacja/prva-nl/
210,Croatia,HNL,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/chorwacja/hnl/?ct=m,https://flashscore.pl/pilka-nozna/chorwacja/hnl/
319,Cyprus,2. Division,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/cypr/2-division/wszystko?ct=m,
